
14/12/2024	00:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	01:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	01:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	02:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	02:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	03:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	03:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	04:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	04:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	05:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	05:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	06:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	06:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	07:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	07:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	08:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	08:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	09:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	09:30	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	10:00	0	0	0	0	0	0	0	0	0	0	-1	0	0	0							
14/12/2024	10:30																					
14/12/2024	11:00																					
14/12/2024	11:30																					
14/12/2024	12:00																					
14/12/2024	12:30																					
14/12/2024	13:00																					
14/12/2024	13:30																					
14/12/2024	14:00																					
14/12/2024	14:30																					
14/12/2024	15:00																					
14/12/2024	15:30																					
14/12/2024	16:00																					
14/12/2024	16:30																					
14/12/2024	17:00																					
14/12/2024	17:30																					
14/12/2024	18:00																					
14/12/2024	18:30																					
14/12/2024	19:00																					
14/12/2024	19:30																					
14/12/2024	20:00																					
14/12/2024	20:30																					
14/12/2024	21:00																					
14/12/2024	21:30																					
14/12/2024	22:00																					
14/12/2024	22:30																					
14/12/2024	23:00																					
14/12/2024	23:30																					
